film,ICSD?,band gap (eV),n,stability,B,mu,nsites,elements,MW,density,CTE,x-tal,a,film orientation,film lattice parameter,% strain,sub_orientation,substrate
Zn(FeO2)2,true,1.6686,0.0,stable,163.7429845788235,0.30812620982463057,7.0,"['O', 'Fe', 'Zn']",241.07600000000002,5.335785441202922,14.35143197969432,spinel,8.436,(100)/2,4.218,0.047438330170772765,(100),MgO
Cr2NiO4,true,0.0,0.0,metastable,0.0,0.0,7.0,"['Cr', 'Ni', 'O']",226.681,4.944787952201782,0.0,spinel,5.967,(110)/2,4.219306163340129,0.07841943406378632,(100),MgO
BaZrO3,true,3.0377,2.22,stable,148.8673335545741,0.24430523124117665,5.0,"['Ba', 'Zr', 'O']",276.548,6.143794292287296,9.138679511364195,perovskite,4.212,(100),4.212,0.0948766603415666,(100),MgO
Cr2FeO4,true,0.0,2.271,metastable,0.0,0.0,7.0,"['Cr', 'Fe', 'O']",223.833,5.039692474469243,0.0,spinel,5.969,(110)/2,4.220720376902503,0.11196339901572154,(100),MgO
Fe2CoO4,true,1.5511,2.338,metastable,0.0,0.0,7.0,"['Fe', 'Co', 'O']",234.619,5.172426779272635,0.0,spinel,8.446,(100)/2,4.223,0.1660341555977152,(100),MgO
ZrPbO3,true,2.2792000000000003,0.0,metastable,0.0,0.0,5.0,"['Zr', 'Pb', 'O']",346.421,7.715050540923727,0.0,perovskite,4.209,(100),4.209,0.16603415559773627,(100),MgO
Mg(FeO2)2,true,0.0,0.0,metastable,0.0,0.0,7.0,"['O', 'Fe', 'Mg']",199.991,4.420157590310147,0.0,spinel,5.949,(110)/2,4.206578241278772,0.2234762505035255,(100),MgO
N2O,true,3.3297,0.0,metastable,0.0,0.0,3.0,"['N', 'O']",44.013,1.3902421527598678,0.0,fluorite,5.947,(110)/2,4.205164027716399,0.2570202154554396,(100),MgO
MnCr2O4,true,2.2026,0.0,stable,0.0,0.0,7.0,"['Mn', 'Cr', 'O']",222.92600000000002,4.9004860965885175,0.0,spinel,8.455,(100)/2,4.2275,0.2727703984819697,(100),MgO
SrZrO3,true,3.3637000000000006,2.157,metastable,0.0,0.0,5.0,"['Sr', 'Zr', 'O']",226.841,5.090274630005099,0.0,perovskite,8.397,(100)/2,4.1985,0.4150853889943091,(100),MgO
Ca3PbO,true,0.0,0.0,stable,0.0,0.0,5.0,"['Ca', 'Pb', 'O']",343.433,5.0114095664170915,0.0,perovskite,4.846,(111)/2,4.19675910673939,0.456377923638764,(100),MgO
Fe2NiO4,true,0.0,0.0,metastable,0.0,0.0,7.0,"['Fe', 'Ni', 'O']",234.379,5.105879374243736,0.0,spinel,8.48,(100)/2,4.24,0.5692599620493364,(100),MgO
Mg2VO4,true,0.0,0.0,metastable,0.0,0.0,7.0,"['Mg', 'V', 'O']",163.548,3.604350588449166,0.0,spinel,5.928,(110)/2,4.191728998873854,0.575687882498719,(100),MgO
Fe2GeO4,true,1.4076999999999997,2.168,stable,0.0,0.0,7.0,"['Fe', 'Ge', 'O']",248.326,5.601316735348606,0.0,spinel,8.382,(100)/2,4.191,0.5929791271347333,(100),MgO
Al(FeO2)2,true,0.0,0.0,metastable,0.0,0.0,7.0,"['O', 'Fe', 'Al']",202.668,4.585170938852514,0.0,spinel,8.374,(100)/2,4.187,0.6878557874762787,(100),MgO
